"","id","word"
"200","722743399263182849","on"
"201","722743399263182849","the"
"202","722743399263182849","megabus"
"203","722743399263182849","to"
"204","722743399263182849","glasgow"
"205","722743399263182849","just"
"206","722743399263182849","now"
"207","722743399263182849","super"
"208","722743399263182849","comfy"
"209","722743399263182849","seats"
"210","722743399263182849","and"
"211","722743399263182849","all"
"212","722743399263182849","for"
"213","722743399263182849","4"
"214","722743399263182849","great"
"215","722743399263182849","service"
"216","722742946307682308","londonthunders"
"217","722742946307682308","omg"
"218","722742946307682308","don't"
"219","722742946307682308","even"
"220","722742946307682308","i'll"
"221","722742946307682308","be"
"222","722742946307682308","crying"
"223","722742946307682308","on"
"224","722742946307682308","this"
"225","722742946307682308","megabus"
"226","722742946307682308","right"
"227","722742946307682308","now"
"228","722740083007205377","megabús"
"229","722740083007205377","tendría"
"230","722740083007205377","que"
"231","722740083007205377","construir"
"232","722740083007205377","baños"
"233","722740083007205377","en"
"234","722740083007205377","las"
"235","722740083007205377","estaciones"
"236","722740083007205377","de"
"237","722740083007205377","servicio"
"238","722740083007205377","las"
"239","722740083007205377","dos"
"240","722740083007205377","en"
"241","722740083007205377","las"
"242","722740083007205377","que"
"243","722740083007205377","se"
"244","722740083007205377","pueden"
"245","722740083007205377","encontrar"
"246","722740083007205377","baño"
"247","722740083007205377","https"
"248","722740083007205377","t.co"
"249","722740083007205377","s6blw7db39"
"250","722739361524092929","my"
"251","722739361524092929","megabus"
"252","722739361524092929","smells"
"253","722739361524092929","like"
"254","722739361524092929","pee"
"255","722739361524092929","the"
"256","722739361524092929","next"
"257","722739361524092929","6"
"258","722739361524092929","hours"
"259","722739361524092929","outta"
"260","722739361524092929","be"
"261","722739361524092929","good"
"262","722739088009347074","after"
"263","722739088009347074","a"
"264","722739088009347074","fire"
"265","722739088009347074","megabus"
"266","722739088009347074","passengers"
"267","722739088009347074","stranded"
"268","722739088009347074","on"
"269","722739088009347074","compensation"
"270","722739088009347074","https"
"271","722739088009347074","t.co"
"272","722739088009347074","cpv4luqs12"
"273","722737165407391744","megabús"
"274","722737165407391744","tendría"
"275","722737165407391744","que"
"276","722737165407391744","construir"
"277","722737165407391744","baños"
"278","722737165407391744","en"
"279","722737165407391744","las"
"280","722737165407391744","estaciones"
"281","722737165407391744","de"
"282","722737165407391744","servicio"
"283","722737165407391744","las"
"284","722737165407391744","dos"
"285","722737165407391744","en"
"286","722737165407391744","las"
"287","722737165407391744","que"
"288","722737165407391744","se"
"289","722737165407391744","pueden"
"290","722737165407391744","encontrar"
"291","722737165407391744","baño"
"292","722737165407391744","https"
"293","722737165407391744","t.co"
"294","722737165407391744","5blpmdaldl"
"295","722736412999729152","the"
"296","722736412999729152","megabus"
"297","722736412999729152","is"
"298","722736412999729152","so"
"299","722736412999729152","much"
"300","722736412999729152","better"
"301","722736412999729152","when"
"302","722736412999729152","it"
"303","722736412999729152","actually"
"304","722736412999729152","gets"
"305","722736412999729152","somewhere"
"306","722736412999729152","on"
"307","722736412999729152","time"
"308","722733094315405312","how"
"309","722733094315405312","to"
"310","722733094315405312","plan"
"311","722733094315405312","a"
"312","722733094315405312","usa"
"313","722733094315405312","megatrip"
"314","722733094315405312","on"
"315","722733094315405312","https"
"316","722733094315405312","t.co"
"317","722733094315405312","9mcmaqugmq"
"318","722733094315405312","https"
"319","722733094315405312","t.co"
"320","722733094315405312","smshzjtaqh"
"321","722732699853668352","after"
"322","722732699853668352","ohsistermusic"
"323","722732699853668352","allmanbrown"
"324","722732699853668352","shout"
"325","722732699853668352","outs"
"326","722732699853668352","amp"
"327","722732699853668352","weareshura"
"328","722732699853668352","mentioning"
"329","722732699853668352","it"
"330","722732699853668352","amp"
"331","722732699853668352","now"
"332","722732699853668352","secret_sessions"
"333","722732699853668352","i"
"334","722732699853668352","think"
"335","722732699853668352","i'll"
"336","722732699853668352","now"
"337","722732699853668352","name"
"338","722732699853668352","myself"
"339","722732699853668352","megabus"
"340","722732699853668352","girl"
"341","722732651761778688","serious"
"342","722732651761778688","love"
"343","722732651761778688","hate"
"344","722732651761778688","relationship"
"345","722732651761778688","with"
"346","722732651761778688","megabus"
"347","722732651761778688","london"
"348","722732651761778688","everything"
"349","722732651761778688","rn"
"350","722731586999951360","the"
"351","722731586999951360","ultimate"
"352","722731586999951360","guide"
"353","722731586999951360","to"
"354","722731586999951360","riding"
"355","722731586999951360","the"
"356","722731586999951360","megabus"
"357","722731586999951360","https"
"358","722731586999951360","t.co"
"359","722731586999951360","eenrcwkenj"
"360","722727805897830400","сборка"
"361","722727805897830400","милан"
"362","722727805897830400","и"
"363","722727805897830400","рим"
"364","722727805897830400","в"
"365","722727805897830400","одной"
"366","722727805897830400","поездке"
"367","722727805897830400","из"
"368","722727805897830400","варшавы"
"369","722727805897830400","за"
"370","722727805897830400","47"
"371","722727805897830400","в"
"372","722727805897830400","июне"
"373","722727805897830400","https"
"374","722727805897830400","t.co"
"375","722727805897830400","s3v6lvkk3s"
"376","722727805897830400","megabus"
"377","722727805897830400","ryanair"
"378","722727225435561985","sweet"
"379","722727225435561985","view"
"380","722727225435561985","of"
"381","722727225435561985","tolcarnebeach"
"382","722727225435561985","from"
"383","722727225435561985","the"
"384","722727225435561985","megabus"
"385","722727225435561985","wavelengthmag"
"386","722727225435561985","https"
"387","722727225435561985","t.co"
"388","722727225435561985","ifsducghna"
"389","722723131425693697","cromerty"
"390","722723131425693697","yup"
"391","722723131425693697","megabus"
"392","722723131425693697","is"
"393","722723131425693697","awesome"
"394","722723131425693697","if"
"395","722723131425693697","you'r"
"396","722723131425693697","on"
"397","722723131425693697","a"
"398","722723131425693697","budget"
"399","722723131425693697","or"
"400","722723131425693697","even"
"401","722723131425693697","if"
"402","722723131425693697","you"
"403","722723131425693697","just"
"404","722723131425693697","don't"
"405","722723131425693697","want"
"406","722723131425693697","to"
"407","722723131425693697","pay"
"408","722723131425693697","100"
"409","722723131425693697","for"
"410","722723131425693697","a"
"411","722723131425693697","ticket"
"412","722723131425693697","it"
"413","722723131425693697","only"
"414","722723131425693697","takes"
"415","722723131425693697","2"
"416","722723131425693697","more"
"417","722723131425693697","hrs"
"418","722722835903459328","radio_jez"
"419","722722835903459328","blimey"
"420","722722835903459328","the"
"421","722722835903459328","megabus"
"422","722722835903459328","is"
"423","722722835903459328","cheap"
"424","722722835903459328","compared"
"425","722722835903459328","to"
"426","722722835903459328","the"
"427","722722835903459328","train"
"428","722722835903459328","they"
"429","722722835903459328","accept"
"430","722722835903459328","nus"
"431","722722835903459328","cards"
"432","722722835903459328","too"
"433","722722835903459328","so"
"434","722722835903459328","hurrah"
"435","722721191895535616","megabús"
"436","722721191895535616","tendría"
"437","722721191895535616","que"
"438","722721191895535616","construir"
"439","722721191895535616","baños"
"440","722721191895535616","en"
"441","722721191895535616","las"
"442","722721191895535616","estaciones"
"443","722721191895535616","de"
"444","722721191895535616","servicio"
"445","722721191895535616","las"
"446","722721191895535616","dos"
"447","722721191895535616","en"
"448","722721191895535616","las"
"449","722721191895535616","que"
"450","722721191895535616","se"
"451","722721191895535616","pueden"
"452","722721191895535616","encontrar"
"453","722721191895535616","baño"
"454","722721191895535616","https"
"455","722721191895535616","t.co"
"456","722721191895535616","tm9h8gz9d6"
"457","722720689535524864","megabusuk"
"458","722720689535524864","could"
"459","722720689535524864","you"
"460","722720689535524864","tell"
"461","722720689535524864","me"
"462","722720689535524864","if"
"463","722720689535524864","the"
"464","722720689535524864","megabus"
"465","722720689535524864","coming"
"466","722720689535524864","from"
"467","722720689535524864","amsterdam"
"468","722720689535524864","to"
"469","722720689535524864","brussels"
"470","722720689535524864","is"
"471","722720689535524864","arriving"
"472","722720689535524864","amytime"
"473","722720689535524864","soon"
"474","722720689535524864","or"
"475","722720689535524864","where"
"476","722720689535524864","to"
"477","722720689535524864","call"
"478","722720689535524864","for"
"479","722720689535524864","info"
"480","722720689535524864","thks"
"481","722720637022826497","cromerty"
"482","722720637022826497","indeed"
"483","722720637022826497","or"
"484","722720637022826497","the"
"485","722720637022826497","megabus"
"486","722720637022826497","if"
"487","722720637022826497","at"
"488","722720637022826497","short"
"489","722720637022826497","notice"
"490","722720637022826497","p"
"491","722720500418367488","mit"
"492","722720500418367488","https"
"493","722720500418367488","t.co"
"494","722720500418367488","vn2wghg7l6"
"495","722720500418367488","durch"
"496","722720500418367488","die"
"497","722720500418367488","maifeiertage"
"498","722720500418367488","https"
"499","722720500418367488","t.co"
